schoolID,Round32,Sweet16,Elite8,Final4,Final,Champion,Round32TotalPred,Sweet16TotalPred,Elite8TotalPred,Final4TotalPred,FinalTotalPred,ChampionTotalPred,offanddef_round32pred,offanddef_sweet16pred,offanddef_elite8pred,offanddef_final4pred,offanddef_finalpred,offanddef_championpred
Abilene Christian2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abilene Christian2014,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.642848558,0.064903126,0.044622298,0.033708027,0.067871016,0.010498169
Abilene Christian2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abilene Christian2015,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.161230872,0.130242194,-0.081557354,-0.032753046,0.014727815,-0.013731888
Abilene Christian2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abilene Christian2016,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.378877231,0.245841075,-0.041787447,-0.02012252,0.010761125,-0.01747516
Abilene Christian2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abilene Christian2017,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.696698178,0.437056052,0.161613377,0.059259835,0.070778404,0.027299479
Abilene Christian2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abilene Christian2018,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.424886515,0.279783422,0.042242131,0.028213441,0.033397159,0.010121264
Abilene Christian2019,0,0,0,0,0,0,0.189243846,-0.45682705,-0.4211429,-0.172454739,-0.047939699,-0.041476018,0.134528247,-0.099112046,-0.24969214,-0.172454739,-0.047939699,-0.041476018
Air Force2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Force2010,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.214498398,-0.164200617,-0.17180391,-0.140891107,-0.002427392,-0.055565611
Air Force2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Force2011,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.531999118,0.117145286,0.035045522,-0.071082014,-0.015110822,-0.021606882
Air Force2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Force2012,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.502877799,0.157580639,0.014276901,-0.047403031,0.012273065,-0.012340454
Air Force2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Force2013,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.424422393,0.071161526,-0.116431949,-0.098440806,-0.012799671,-0.022326413
Air Force2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Force2014,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.539264047,0.267446091,0.076545434,-0.007631566,0.035430694,0.01247361
Air Force2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Force2015,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.140556117,-0.162941173,-0.211531828,-0.176854507,-0.059897293,-0.036226384
Air Force2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Force2016,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.237110704,-0.248819016,-0.241806669,-0.17553235,-0.022337297,-0.015200884
Air Force2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Force2017,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.218385583,0.134394781,-0.089171148,-0.04094114,0.012982831,-0.013275964
Air Force2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Force2018,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.149180863,-0.099359043,-0.19979022,-0.155800633,-0.006887127,-0.011486583
Air Force2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Force2019,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.177428682,-0.027470067,-0.151244211,-0.116083919,-0.001829611,-0.018211799
Akron2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron2010,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.750546074,0.528505345,0.178456872,0.08217835,0.050053086,0.014908485
Akron2011,0,0,0,0,0,0,1.141074311,0.470106891,0.197803631,0.120524529,0.085757094,0.038517331,0.830991443,0.355807434,0.068961846,0.013140225,0.02302185,0.020447198
Akron2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron2012,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.437120126,0.152644163,-0.092312736,-0.071286972,0.022302618,-0.001755915
Akron2013,0,0,0,0,0,0,0.575974025,-0.136328215,-0.314888585,-0.092267818,-0.0124254,-6.06E-04,0.517349664,-0.029015418,-0.102112647,-0.092267818,-0.0124254,-6.06E-04
Akron2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron2014,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.22960759,-0.134476231,-0.235217451,-0.162315509,-0.055183929,-0.006313105
Akron2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron2015,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.525143425,0.159126475,-0.05351278,-0.023685642,0.01452783,0.005575647
Akron2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron2016,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.67646101,0.461355998,0.155005983,0.067682172,0.039450488,0.027332452
Akron2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron2017,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.348075526,0.193732591,-0.009329618,-0.020450833,-0.008431696,-0.002752429
Akron2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron2018,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.414282458,-0.05165219,-0.075113048,-0.126995219,-0.011892116,0.001168208
Akron2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron2019,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.442769052,0.33822152,0.111695215,0.037498901,0.062489836,0.006249606
Alabama A&M2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama A&M2010,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,1.318046423,0.591519579,0.405288822,0.190857492,0.083473778,0.07748307
Alabama A&M2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama A&M2011,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.297536153,0.016175747,-0.156402144,-0.075068714,0.001902975,0.002219707
Alabama A&M2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama A&M2012,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.421889038,0.156634252,-0.024993911,-0.031959224,-0.030963836,0.020597594
Alabama A&M2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama A&M2013,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.356961185,0.185074105,0.039106405,-0.001427916,0.011517227,0.017970065
Alabama A&M2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama A&M2014,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.489245406,-0.041324069,-0.129041669,-0.092228606,-3.37E-04,-0.013254999
Alabama A&M2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama A&M2015,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,-0.013267492,0.031538345,-0.149567625,-0.074336084,0.006223756,-0.015220725
Alabama A&M2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama A&M2016,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,-0.030461058,-0.106282729,-0.269230142,-0.152232498,0.008666417,-0.037344928
Alabama A&M2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama A&M2017,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.102229366,-0.359811556,-0.347049806,-0.231181754,-0.076440835,-0.031269617
Alabama A&M2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
