schoolID,Round32,Sweet16,Elite8,Final4,Final,Champion
Arkansas Pine Bluff2010,0,0,0,0,0,0
Baylor2010,1,1,1,0,0,0
Butler2010,1,1,1,1,1,0
BYU2010,1,0,0,0,0,0
California2010,1,0,0,0,0,0
Clemson2010,0,0,0,0,0,0
Cornell2010,1,1,0,0,0,0
Duke2010,1,1,1,1,1,1
East Tennessee St.2010,0,0,0,0,0,0
Florida2010,0,0,0,0,0,0
Florida St.2010,0,0,0,0,0,0
Georgetown2010,0,0,0,0,0,0
Georgia Tech2010,1,0,0,0,0,0
Gonzaga2010,1,0,0,0,0,0
Houston2010,0,0,0,0,0,0
Kansas2010,1,0,0,0,0,0
Kansas St.2010,1,1,1,0,0,0
Kentucky2010,1,1,1,0,0,0
Lehigh2010,0,0,0,0,0,0
Louisville2010,0,0,0,0,0,0
Marquette2010,0,0,0,0,0,0
Maryland2010,1,0,0,0,0,0
Michigan St.2010,1,1,1,1,0,0
Minnesota2010,0,0,0,0,0,0
Missouri2010,1,0,0,0,0,0
Montana2010,0,0,0,0,0,0
Morgan St.2010,0,0,0,0,0,0
Murray St.2010,1,0,0,0,0,0
New Mexico2010,1,0,0,0,0,0
New Mexico St.2010,0,0,0,0,0,0
North Texas2010,0,0,0,0,0,0
Northern Iowa2010,1,1,0,0,0,0
Notre Dame2010,0,0,0,0,0,0
Oakland2010,0,0,0,0,0,0
Ohio2010,1,0,0,0,0,0
Ohio St.2010,1,1,0,0,0,0
Oklahoma St.2010,0,0,0,0,0,0
Old Dominion2010,1,0,0,0,0,0
Pittsburgh2010,1,0,0,0,0,0
Purdue2010,1,1,0,0,0,0
Richmond2010,0,0,0,0,0,0
Robert Morris2010,0,0,0,0,0,0
Saint Mary's2010,1,1,0,0,0,0
Sam Houston St.2010,0,0,0,0,0,0
San Diego St.2010,0,0,0,0,0,0
Siena2010,0,0,0,0,0,0
Syracuse2010,1,1,0,0,0,0
Temple2010,0,0,0,0,0,0
Tennessee2010,1,1,1,0,0,0
Texas2010,0,0,0,0,0,0
Texas A&M2010,1,0,0,0,0,0
UC Santa Barbara2010,0,0,0,0,0,0
UNLV2010,0,0,0,0,0,0
Utah St.2010,0,0,0,0,0,0
UTEP2010,0,0,0,0,0,0
